날짜,라움,마쥬,바네사브루노,산드로,솔리드옴므,시스템옴므,에르메네질도 제냐,엠포리오아르마니,질스튜어트,질스튜어트뉴욕,자딕앤볼테르,이자벨마랑,타임옴므,폴로랄프로렌
2016-07-04,18.64139,43.1136,17.68394,26.76528,22.36583,42.01254276,6.793035114,14.37598233,107.3723617,10.40260169,12.03506225,52.14236396,13.4329265,67.80608901
2016-07-11,16.95629,41.7253,17.60256,24.67327,21.23605,37.7184299,6.414852059,13.72014125,82.74214899,9.301540747,12.57600613,49.08812206,13.4329265,60.96036896
2016-07-18,16.37225,48.59974,13.7345,28.2158,19.99617,36.84716594,7.262198964,12.35099604,86.45222838,7.903676497,15.75471848,49.10726702,14.78290012,65.07258106
2016-07-25,14.66321,49.83005,14.51002,27.33017,18.69883,36.10991653,6.783462646,12.16909092,88.46764221,6.572847835,16.15684729,48.57109527,13.47121642,65.59437519
2016-08-01,15.32385,42.18009,14.65843,28.13442,20.05361,34.9945123,6.386134657,10.8526084,81.75118683,6.682945458,14.12705827,47.08705047,12.91589971,75.8103015
2016-08-08,13.88769,38.72851,13.71056,26.06635,21.05414,35.68864326,6.448369814,14.09352395,87.46713582,6.553674641,13.28451073,36.06686861,13.02599733,71.3773502
2016-08-15,15.92225,43.19019,15.75949,26.59773,22.39934,39.70032597,7.075493495,14.36160951,91.11978042,8.583463665,14.36162635,35.44454455,15.78823628,78.09856945
2016-08-22,17.12863,44.21465,33.65407,31.96419,26.55464,47.30721847,7.099410544,15.80736269,98.70749975,9.971755436,15.1419669,38.62325691,18.54567486,85.73898561
2016-08-29,18.30628,40.36095,26.11422,29.92962,31.04983,56.0582326,6.515377085,15.82650763,95.07880044,9.952610479,17.65046457,42.06048266,22.27490357,116.2718239
2016-09-05,18.40681,41.71573,21.66211,30.81047,30.79611,53.0997472,7.980275204,16.35310628,91.30645765,12.6190964,15.39567994,35.00412582,21.94458246,106.9271843
2016-09-12,12.09727,44.74603,20.22595,28.66101,32.00248,55.16782371,6.965367764,16.86533212,100.8809016,12.80100173,13.77759221,31.83498595,22.69617734,109.7372829
2016-09-19,20.27861,37.45033,18.90947,28.2158,34.26205,59.1076988,7.424959147,16.90842234,95.6915513,13.49516173,15.85524363,34.79827518,23.47648965,145.2871169
2016-09-26,18.36373,32.31365,30.18335,28.04825,30.86313,63.00448367,7.357923638,14.24193955,85.67671734,13.14569567,16.19513721,34.40571884,24.87915426,113.0117417
2016-10-03,19.20149,33.51524,29.97271,29.46526,34.51098,67.59539949,8.224415478,15.38128906,96.68251346,15.66853794,16.21428217,38.76687232,25.72650215,108.1479271
2016-10-10,19.23021,31.91153,24.5105,29.29292,36.88544,64.20126799,9.569615399,15.44352422,134.2860455,16.57332071,14.66803038,33.02219919,27.70360019,117.3393855
2016-10-17,18.48819,29.7525,21.40839,26.3823,33.20886,63.73693273,7.898895113,15.94140547,111.9058427,14.87865315,16.47279556,31.08339107,25.09457738,102.154337
2016-10-24,18.25841,29.6376,18.90468,33.72588,34.74555,68.69645914,7.807914317,14.66321282,100.5840987,14.67760286,15.47225977,36.19133907,28.09615653,101.3117672
2016-10-31,19.23979,28.90995,18.89511,32.58652,41.85456,84.16395688,7.922812163,13.65790609,106.4053448,18.2823611,15.18502894,34.29082086,35.2530385,112.7723732
2016-11-07,18.7467,28.01474,17.76054,33.82162,40.24127,86.07884568,12.03024779,16.36267875,104.3085227,16.79354419,16.49674088,33.29985755,35.59293209,103.6958191
2016-11-14,20.35042,30.74345,16.5398,32.54344,49.11676,72.33953126,12.9350295,16.72648899,89.5447848,15.02226856,16.85577942,28.32115213,30.74349749,131.9547296
2016-11-21,19.09617,30.94451,16.35789,34.53492,46.11039,70.17092972,9.191432345,16.58767409,99.52610101,15.95099665,15.66376582,29.47967618,30.0732828,182.2013514
2016-11-28,21.11637,28.23016,14.74938,31.23174,48.43218,66.30766261,8.779731535,16.15202799,92.50327021,14.13663075,14.99355113,26.4158618,30.82487767,117.9952405
2016-12-05,19.34032,26.27698,14.47173,30.0493,39.87744,67.82999553,9.445145086,19.90519761,94.02083102,15.01749644,12.12601492,26.84190769,29.4844483,99.39689223
2016-12-12,18.71798,27.55517,15.53449,31.26047,37.50777,67.73901474,8.904201849,19.89562515,96.22772242,14.62971223,17.37757833,26.14297557,32.69667845,100.8761603
2016-12-19,16.86054,24.98922,14.00258,29.5658,34.7647,67.28425195,9.224950099,18.00948199,105.8787462,13.24142046,11.97759915,23.6344779,26.47329667,90.44002232
2016-12-26,15.1563,26.95198,14.10311,29.07271,31.10249,58.15502652,9.823356378,13.44248322,94.76762466,10.92920096,11.08238885,22.73926761,24.59669554,89.02300461
2017-01-02,23.34242,28.79984,14.85949,33.78811,33.89822,74.7666459,9.335047593,14.39512726,121.925477,11.34570261,12.87280944,25.97541484,27.83764313,84.83420188
2017-01-09,17.69352,36.38278,16.22384,34.92747,35.15247,72.0427283,10.08184123,14.01694421,137.2110414,12.01111694,14.26590157,28.88126919,29.37915103,97.12296449
2017-01-16,17.12863,34.22854,16.24299,36.79927,32.94078,65.80020889,9.799411091,13.24620528,136.4594474,11.72388611,15.84567115,29.16850003,27.8807334,92.62298272
2017-01-23,11.8627,34.55885,13.49992,42.06041,28.31633,56.5225961,8.784531888,14.50045264,227.7563608,10.25898627,14.21323882,25.87011757,23.46214505,82.40227635
2017-01-30,16.26214,37.17746,18.88075,44.63114,31.83493,59.80182976,9.971743741,15.07014152,230.3318911,10.14408829,17.22439044,31.13605382,24.79777407,99.09052974
2017-02-06,17.66958,39.2934,23.18445,43.60189,31.66738,62.9565931,9.263239969,15.23767382,200.0767102,10.36431177,16.82226163,30.50412905,22.61002503,86.57195878
2017-02-13,16.89884,35.01364,22.28445,41.70616,30.26473,62.96616556,9.229722214,13.90204636,217.8755414,10.22546848,17.54513907,32.1126443,22.78713,94.87297361
2017-02-20,16.93714,39.43702,28.4025,38.92479,34.128,64.63214197,8.482928572,11.18290088,217.8707693,11.66165088,17.30577063,31.7488054,23.6344779,91.51236399
2017-02-27,14.84992,37.19661,25.24773,37.44554,32.02163,60.17044034,9.507380243,9.598332801,170.4007906,11.42708279,18.74672515,33.95092728,24.32383755,92.35489731
2017-03-06,16.2047,34.42002,23.6871,34.15673,30.12111,57.6475728,7.616436732,9.076534499,136.8232859,11.80046593,20.21162499,32.02169164,21.93500998,84.93472935
2017-03-13,16.67384,35.53544,24.34295,54.22949,32.36152,60.20875845,7.511111354,9.718031,126.8419414,12.52814373,22.14566099,32.28977751,23.51000744,94.74372922
2017-03-20,17.00416,34.31471,22.39456,36.17693,30.0876,53.19069976,8.358458259,10.35949926,124.7882377,11.79569381,18.47386715,31.2988142,23.87861846,89.43471112
2017-03-27,17.04724,32.03121,24.4004,35.80832,27.16262,50.3662289,7.688244356,9.962171274,109.0095924,11.74780318,19.15842644,30.82007732,22.09299823,83.268783
2017-04-03,15.92704,31.48547,23.23232,37.02905,26.26741,53.79387815,8.075999878,9.13399754,106.2234115,9.756332311,20.06800957,29.87223251,21.16907051,82.89057348
2017-04-10,18.70841,29.95356,21.6669,38.9583,24.9605,47.08222313,8.81324929,9.83770096,98.76016244,8.999965315,19.22066167,27.40202476,20.98236482,92.19693599
2017-04-17,16.20948,30.43228,22.76796,35.11417,23.23711,45.58860761,8.612171,11.09194832,98.00376809,8.396757976,18.56001946,25.65946657,18.52172954,90.01875566
2017-04-24,16.08502,26.88496,19.93872,32.76365,20.75733,40.24606956,7.032403273,11.17332841,87.29477494,7.305269517,16.72173648,22.69617734,17.21961832,84.21666035
2017-05-01,12.88237,26.54028,20.05361,34.60673,20.73818,44.57850052,7.7744248,11.43664186,94.20273613,8.846749183,15.41962526,21.59034428,16.68344657,94.33680277
2017-05-08,16.14246,30.83441,19.72808,38.93436,18.97649,40.94022875,7.468049369,14.52917004,91.39743845,7.57815575,17.9376954,23.41425442,16.98024988,89.31502687
2017-05-15,17.09512,31.43759,21.11158,58.57149,18.89511,39.48013098,6.955795296,11.25470851,87.05543501,7.491975205,16.17599225,24.67330361,16.96587704,84.77195148
2017-05-22,18.22969,29.17324,22.13126,32.39982,18.81372,37.90990748,7.377068573,12.65259935,104.6771615,6.419631703,15.95576877,27.34456165,18.6940624,81.58367988
2017-05-29,17.20522,30.80568,21.70999,39.27904,18.64139,39.81042346,8.717496379,14.75416538,96.35219274,6.955803454,15.28558232,25.16638509,19.2828969,84.02038549
2017-06-05,15.88874,31.80621,21.08286,35.98544,18.89032,52.4008159,7.94675745,10.57015002,89.63573736,7.377077225,15.28558232,23.92650909,20.65681583,89.19534263
2017-06-12,17.8132,30.96366,19.31638,42.26626,18.31107,54.68431528,8.789304003,10.7616276,92.2974198,7.554210435,14.99832325,25.61637629,20.72862354,84.48474577
2017-06-19,18.01905,30.52324,18.2632,43.39604,17.10948,50.50027168,7.865377358,10.05312383,85.99746559,7.721771167,16.43927777,25.49670619,17.87546017,87.75438807
2017-06-26,16.26693,30.3892,20.4318,69.24218,18.89032,43.70243621,7.783997267,9.426000151,92.20166689,8.07600935,19.25895158,24.31903719,17.41586825,84.43205551
2017-07-03,14.2946,28.68016,27.24879,53.65982,17.29618,48.7481713,7.372296458,9.49303566,89.4777493,7.453685291,17.06640219,24.74511132,16.71693612,74.12519837
2017-07-10,12.54727,28.87165,28.03389,47.23538,17.80841,46.35454619,7.180790636,10.80471783,88.19955665,6.759525287,15.96056913,24.65893077,16.33875263,77.25603613
2017-07-17,13.53822,29.77165,20.76212,42.78328,18.1866,41.88807244,6.658992333,10.12015934,84.06820397,6.501040127,18.45469396,23.77329296,15.42439738,74.28797624
2017-07-24,13.16482,28.48867,19.14404,41.86413,18.29192,40.08330938,6.620702464,11.55631182,91.01445504,6.462721975,18.04779302,26.77967246,15.84089903,74.03423104
2017-07-31,12.78663,27.46421,17.81799,43.73115,17.83235,37.70405708,7.851004539,10.11535899,93.07295908,6.893568225,15.92227921,36.09081393,15.70685609,76.78689577
2017-08-07,13.19833,32.02642,18.59351,41.48116,21.35573,44.10936491,7.152073234,10.47919746,101.2159945,7.04675612,15.83609867,28.30200717,19.22546203,85.51399382
2017-08-14,14.24194,33.03173,23.127,66.80549,24.45306,50.44760899,7.582918977,10.61324024,121.7291991,8.626553937,19.43608479,43.39611168,19.30204186,103.9255909
2017-08-21,14.92651,33.88386,34.10407,56.62789,24.24242,55.12950561,8.162180322,11.49887702,116.7887894,8.49728312,20.13501692,41.23227972,18.51215707,97.59210485
2017-08-28,15.57757,39.02053,33.69237,48.87261,31.48068,61.76458089,7.482393951,11.84834267,110.0196713,9.871230292,20.67118867,37.24930974,20.49405546,112.3463265
2017-09-04,17.87543,32.27057,30.9876,47.14921,31.72483,64.64171444,7.851004539,11.11109326,114.4095653,11.03929858,21.73873181,34.22381351,21.87757511,113.854275
2017-09-11,16.70735,32.61525,27.25357,50.33271,31.136,59.16033326,8.727068846,12.11642823,111.0728686,11.97282702,24.39564526,33.3046579,23.09353403,122.3755381
2017-09-18,16.66427,29.72856,26.49719,43.09923,30.63334,56.54174104,8.506873859,11.80525245,107.7696897,11.44622775,21.51853657,30.65254482,23.44777221,134.4871826
2017-09-25,13.18397,27.0956,24.59667,42.74977,29.83867,53.46835779,8.085572345,10.78557289,104.8016318,13.01642485,19.17279928,31.47594741,23.07916119,140.6147971
2017-10-02,9.22973,30.06366,24.59667,47.52261,31.96897,60.14652329,7.951557802,11.9775851,129.0488328,23.7876658,17.00896731,28.50785782,22.68183274,140.093003
2017-10-09,16.67863,31.70089,27.63655,51.59174,40.42797,67.87305752,8.841966692,12.71960662,121.5089758,15.40045206,20.45576555,33.09880726,29.57062884,145.5408621
2017-10-16,17.10469,30.55196,25.70252,46.05294,36.43065,62.76031516,7.7744248,11.17812877,114.4909454,13.47121642,19.05310094,28.79988901,27.94776899,135.8611067
2017-10-23,16.00842,33.05088,23.84987,47.50825,34.21417,63.20553372,7.353151523,10.89567039,114.6728505,14.28024617,17.54513907,27.7610633,29.76690701,125.9372026
2017-10-30,16.25736,33.1179,24.43869,46.75666,43.19019,72.55018202,7.985047319,12.22172537,130.0350229,14.76855552,16.45845096,27.87596128,33.64455149,134.5542131
2017-11-06,16.38182,30.84877,25.00359,47.60878,47.58485,78.15600528,8.329740857,12.26961595,132.3089498,13.31802852,16.9706774,27.15785596,34.42006344,141.83554
2017-11-13,16.47757,32.29929,30.00143,48.87261,47.51783,79.07035946,8.947292071,15.36214413,147.852999,13.9307801,16.95153244,28.48871286,35.17165832,152.2573013
2017-11-20,15.91746,32.90248,28.31633,52.25716,42.2519,75.49909496,8.928147136,12.21695326,156.398191,14.57227736,26.44935136,26.56424934,32.88815625,251.4005213
2017-11-27,15.89353,29.72856,22.88764,47.68538,36.16736,64.77575722,8.329740857,12.63822653,145.0525017,11.96325455,23.6344779,25.78873738,27.7754079,127.9669818
2017-12-04,15.73076,28.23974,21.1451,44.89922,38.36947,60.85502707,7.793569734,10.65633046,147.7141841,10.93400132,19.69459819,25.688184,27.09084861,114.1415172
